title,company_name,location,description,link
Data Center Engineer,IDEMIA EGYPT -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Data center · Information Technology (IT) · Computer Engineering,https://wuzzuf.net/jobs/p/8FX4kOLvhJIQ-Data-Center-Engineer-IDEMIA-EGYPT-Cairo-Egypt?o=33&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Scientist “Mathematics/Physics”,Dafa -,"Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Business Objects · Computer Science · D3 · Data Mining · Gurobi · Information Technology (IT) · Mathematics · Python · Spark,https://wuzzuf.net/jobs/p/gcdLrAsWG97j-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=34&l=sp&t=sj&a=data science jobs|search-v3|navbl
Big Data Project Team Lead,Worex -,"Riyadh, Saudi Arabia ",Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Computer Engineering · Information Technology (IT) · Computer Science · Spark,https://wuzzuf.net/jobs/p/31PWy8Ewd2NU-Big-Data-Project-Team-Lead-Worex-Riyadh-Saudi-Arabia?o=35&l=sp&t=sj&a=data science jobs|search-v3|navbl
Project Manager - Data Networks (ICT),SABA -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Project Management · Software Engineering · Data Networks · Networks · PMP · Microsoft Visio · Smartdraw,https://wuzzuf.net/jobs/p/yIX55BzTN13K-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt?o=36&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Center Engineer,Smart System -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data center · Cisco · Software Engineering · Vmware · Cloud Computing · CCNP · CCNA · Servers,https://wuzzuf.net/jobs/p/XNFKjzvSaYIN-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=37&l=sp&t=sj&a=data science jobs|search-v3|navbl
Big Data Engineer,Worex -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Engineering · Kafka · Computer Science,https://wuzzuf.net/jobs/p/8mpWfbTOXUdy-Big-Data-Engineer-Worex-Riyadh-Saudi-Arabia?o=38&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Data Administrator (KSA),Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Analysis · Business Analysis · Data · Data Analysis · Programming · SQL · Database · Computer Science,https://wuzzuf.net/jobs/p/twClZ8jLx53y-Business-Data-Administrator-KSA-Riyadh-Saudi-Arabia?o=39&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,Unimix Egypt for Readymix concrete -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Engineering - Other · Business Analysis · Analysis · Data Analysis · Computer Science · Information Technology (IT) · Analytical · Business,https://wuzzuf.net/jobs/p/dIieJT5piZvq-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=40&l=sp&t=sj&a=data science jobs|search-v3|navbl
Processing Officer (Science Graduates),NEXtCARE -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedExperienced · 2+ Yrs of Exp · Administration · R&D/Science · Science · Health Care · Insurance · Data Entry · Veterinary · Data Processor · English · Administration,https://wuzzuf.net/jobs/p/xUbexBC8BiNW-Processing-Officer-Science-Graduates-NEXtCARE-Cairo-Egypt?o=41&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Data Analyst,Fawry Plus -,"Smart Village, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · business · Analyst · Business Analysis · Data Analyst · Analysis · Data Analysis · English · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=42&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,Olam SVI -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Business Development · Logistics/Supply Chain · Analyst/Research · Analysis · Data Analysis · MS Excel · Computer Science · Information Technology (IT) · English · SAP,https://wuzzuf.net/jobs/p/SqZCjDBkUe22-Data-Analyst-Olam-SVI-Giza-Egypt?o=43&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Biology Laboratory Specialist - Biomedical Sciences Program,Zewail City -,"6th of October, Giza, Egypt ",Full TimePart TimeEntry Level · 1 - 2 Yrs of Exp · R&D/Science · Centrifuge · Biomedical · Biology · Molecular Biology · Science · Thermal Cycler · Gel Electrophoresis · Laboratory · Biomedical Science,https://wuzzuf.net/jobs/p/pjiUl8i8E32y-Senior-Biology-Laboratory-Specialist---Biomedical-Sciences-Program-Zewail-City-Giza-Egypt?o=44&l=sp&t=sj&a=data science jobs|search-v3|navbl
Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering,https://wuzzuf.net/jobs/p/KIEsf1VNGrM0-Power-BI-Developer-BI-Technologies-Cairo-Egypt?o=45&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Analyst Team Leader,Future Group -,"Dokki, Giza, Egypt ",Full TimeWork From HomeManager · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · SQL · business · Economics · Research · Political Science,https://wuzzuf.net/jobs/p/IqrtUasALbXR-Business-Analyst-Team-Leader-Future-Group-Giza-Egypt?o=46&l=sp&t=sj&a=data science jobs|search-v3|navbl
Health Care Technical Support,Sidra -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Medical/Healthcare · computer · Healthcare · ITIL · Technical Support · IT Service Management · Information Technology (IT) · Hospitality · MS Office,https://wuzzuf.net/jobs/p/nSRwFNn4RWwx-Health-Care-Technical-Support-Sidra-Cairo-Egypt?o=47&l=sp&t=sj&a=data science jobs|search-v3|navbl
Business Analyst,Cilantro -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 10+ Yrs of Exp · Business Development · Analyst/Research · Business Analysis · Analysis · Data · Data Analytics · Microsoft Power BI · excel · English · Computer Science,https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=48&l=sp&t=sj&a=data science jobs|search-v3|navbl
Java Team Lead,Ejada (Cairo) -,"Cairo, Egypt ",Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Data Structure · Core Java · Java 8 · JEE · WebSphere,https://wuzzuf.net/jobs/p/fBOHU9BwWhJG-Java-Team-Lead-Ejada-Cairo-Cairo-Egypt?o=49&l=sp&t=sj&a=data science jobs|search-v3|navbl
Development Team Leader,egabi solutions -,"Cairo, Egypt ",Full TimeManager · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Banks · Design Patters · Data Structures · Algorithms · OOP · Java,https://wuzzuf.net/jobs/p/VLWdhbaQDPJ0-Development-Team-Leader-egabi-solutions-Cairo-Egypt?o=50&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · business · Analysis · Data Analysis · Administration · Business Administration · Computer Science,https://wuzzuf.net/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=51&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior R&D Analyst- Banha,Z2 Data -,"Banha, Qalubia, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · R&D/Science · Business Development · Analysis · business · Business Analysis · Communication · Communication skills · Data Analysis · English · R&amp;D,https://wuzzuf.net/jobs/p/QULmM8c1vDma-Senior-RD-Analyst--Banha-Z2-Data-Qalubia-Egypt?o=52&l=sp&t=sj&a=data science jobs|search-v3|navbl
BI Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BI · Information Technology (IT) · Computer Science · SSIS · SQL · SSRS · Oracle · OLAP,https://wuzzuf.net/jobs/p/NBf7TPtxIAoD-BI-Developer-Perfect-Presentation-Giza-Egypt?o=53&l=sp&t=sj&a=data science jobs|search-v3|navbl
Network Engineer,e-finance -,"Abu Rawash, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Banking · Information Technology (IT) · CCNP · Cloud · Communication · Cisco · computer,https://wuzzuf.net/jobs/p/QY4Ui5Db0XpF-Network-Engineer-e-finance-Giza-Egypt?o=54&l=sp&t=sj&a=data science jobs|search-v3|navbl
Implementation Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Django · HTML · CSS · JavaScript · Data Processing · React · Linux Operating System,https://wuzzuf.net/jobs/p/K3jdL18dal1E-Implementation-Engineer-Trufla-Cairo-Egypt?o=55&l=sp&t=sj&a=data science jobs|search-v3|navbl
Front End Developer (Vue.js),Dafa -,"Haram, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Programming · SEO · Software Development · Web Development,https://wuzzuf.net/jobs/p/CVtiKoKUk3hY-Front-End-Developer-Vuejs-Dafa-Giza-Egypt?o=56&l=sp&t=sj&a=data science jobs|search-v3|navbl
Head of Science Department - UAE,Liwa Education  -,"Al Ain, United Arab Emirates ",Full TimeManager · 6+ Yrs of Exp · Operations/Management · Education/Teaching · Education · Teaching · Curriculum · science · Chemistry,https://wuzzuf.net/jobs/p/MCMyfGVYPQJl-Head-of-Science-Department---UAE-Liwa-Education-Al-Ain-United-Arab-Emirates?o=57&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior R&D Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · business · Business Analysis · Communication · Communication skills · Computer Science · Data Analysis,https://wuzzuf.net/jobs/p/3Prgdh0XYKnp-Senior-RD-Analyst-Z2-Data-Cairo-Egypt?o=58&l=sp&t=sj&a=data science jobs|search-v3|navbl
Power BI Developer,Sutherland -,"Alexandria, Egypt ",Full TimeWork From HomeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · DAX · Power BI · SQL · BI · Data Warehousing · Python,https://wuzzuf.net/jobs/p/ChZqSmbjw5i9-Power-BI-Developer-Sutherland-Alexandria-Egypt?o=59&l=sp&t=sj&a=data science jobs|search-v3|navbl
Junior Data Quality Engineer,Worex -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Information Technology (IT) · data quality,https://wuzzuf.net/jobs/p/Mf1k9Dc3poFD-Junior-Data-Quality-Engineer-Worex-Cairo-Egypt?o=60&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Business Analyst / ERP,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Analysis · business · Computer Science · Data Analysis · ERP · Information Technology (IT),https://wuzzuf.net/jobs/p/IEhjrumWL67P-Senior-Software-Business-Analyst-ERP-Cairo-Egypt?o=61&l=sp&t=sj&a=data science jobs|search-v3|navbl
Database Administrator,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Database · Database Administrator · DBA · Computer Science · Data Backup · Database Design · Information Technology (IT),https://wuzzuf.net/jobs/p/20bdQ07Rkb5C-Database-Administrator-Perfect-Presentation-Giza-Egypt?o=62&l=sp&t=sj&a=data science jobs|search-v3|navbl
